job_title,experience_years,skill_count,education_level,education_institution,location,city_tier,company_type,industry,salary_inr,salary_lpa
Software Engineer,1,4,B.Tech,NIT,Bhubaneswar,3,product,IT,750186,7.5
Software Engineer,1,3,B.E.,Tier 2,Bhubaneswar,3,BPO,IT,293195,2.93
Software Engineer,1,5,B.Sc,Tier 3,Bhubaneswar,3,product,IT,494905,4.95
Software Engineer,1,7,B.E.,BITS,Bhubaneswar,3,startup,IT,701090,7.01
Software Engineer,1,8,B.Tech,IIT,Bhubaneswar,3,KPO,IT,589377,5.89
Software Engineer,2,3,B.Tech,NIT,Kolkata,1,startup,IT,1175344,11.75
Software Engineer,2,7,B.E.,BITS,Kolkata,1,KPO,IT,1030150,10.3
Software Engineer,2,4,MBA,IIM,Bangalore,1,MNC,IT,2141665,21.42
Software Engineer,2,8,B.E.,Tier 2,Bangalore,1,service,IT,905212,9.05
Software Engineer,2,4,MBA,IIM,Bangalore,1,BPO,IT,873768,8.74
Software Engineer,2,8,B.Tech,NIT,Bangalore,1,KPO,IT,1024335,10.24
Software Engineer,2,4,B.Tech,IIT,Chandigarh,2,startup,IT,1151551,11.52
Software Engineer,2,6,B.Tech,Top Private,Chandigarh,2,service,IT,812473,8.12
Software Engineer,2,3,B.E.,BITS,Ahmedabad,2,service,IT,736430,7.36
Software Engineer,2,6,B.E.,Tier 2,Ahmedabad,2,BPO,IT,535361,5.35
Software Engineer,2,7,MBA,IIM,Lucknow,3,BPO,IT,738870,7.39
Software Engineer,2,4,B.Tech,IIT,Lucknow,3,KPO,IT,638697,6.39
Software Engineer,2,8,B.Tech,IIT,Patna,3,startup,IT,1129319,11.29
Software Engineer,2,4,B.Tech,NIT,Patna,3,KPO,IT,593928,5.94
Software Engineer,3,7,B.Tech,IIT,Gurgaon,1,startup,IT,1778258,17.78
Software Engineer,3,5,B.Tech,NIT,Gurgaon,1,KPO,IT,1214160,12.14
Software Engineer,3,8,B.Sc,Tier 3,Mumbai,1,startup,IT,1371020,13.71
Software Engineer,3,6,B.E.,BITS,Jaipur,2,MNC,IT,2113379,21.13
Software Engineer,3,3,B.Tech,NIT,Jaipur,2,product,IT,1514709,15.15
Software Engineer,3,5,B.Tech,IIT,Jaipur,2,startup,IT,1524526,15.25
Software Engineer,3,3,MBA,IIM,Jaipur,2,BPO,IT,809341,8.09
Software Engineer,3,3,B.E.,Tier 2,Jaipur,2,KPO,IT,702220,7.02
Software Engineer,3,7,B.E.,Tier 2,Chandigarh,2,MNC,IT,1538105,15.38
Software Engineer,3,4,B.E.,Tier 2,Chandigarh,2,product,IT,1105472,11.05
Software Engineer,3,8,B.Tech,NIT,Chandigarh,2,startup,IT,1554214,15.54
Software Engineer,3,8,B.Tech,Top Private,Chandigarh,2,BPO,IT,789625,7.9
Software Engineer,3,5,B.E.,BITS,Jamshedpur,3,product,IT,1310342,13.1
Software Engineer,3,3,B.Tech,Top Private,Jamshedpur,3,BPO,IT,518670,5.19
Software Engineer,3,8,B.Tech,NIT,Jamshedpur,3,KPO,IT,1034753,10.35
Software Engineer,3,4,MBA,IIM,Patna,3,KPO,IT,1060658,10.61
Software Engineer,4,8,B.Tech,Top Private,Mumbai,1,product,IT,2781574,27.82
Software Engineer,4,4,B.E.,BITS,Mumbai,1,service,IT,1550120,15.5
Software Engineer,4,6,B.E.,BITS,Mumbai,1,KPO,IT,1823495,18.23
Software Engineer,4,5,B.Tech,NIT,Hyderabad,1,startup,IT,1970683,19.71
Software Engineer,4,4,MBA,IIM,Visakhapatnam,2,startup,IT,2009397,20.09
Software Engineer,4,4,B.E.,BITS,Visakhapatnam,2,KPO,IT,1449383,14.49
Software Engineer,4,3,B.Tech,IIT,Coimbatore,2,product,IT,1986430,19.86
Software Engineer,4,4,MBA,IIM,Coimbatore,2,startup,IT,2053170,20.53
Software Engineer,4,7,B.E.,Tier 2,Coimbatore,2,BPO,IT,995265,9.95
Software Engineer,4,5,B.E.,BITS,Patna,3,MNC,IT,2372276,23.72
Software Engineer,4,5,B.Sc,Tier 3,Patna,3,service,IT,899910,9.0
Software Engineer,4,7,B.Tech,IIT,Lucknow,3,startup,IT,1829085,18.29
Software Engineer,4,5,MBA,IIM,Lucknow,3,KPO,IT,1229707,12.3
Software Engineer,5,4,B.Tech,IIT,Chennai,1,service,IT,2167835,21.68
Software Engineer,5,5,B.Tech,NIT,Chennai,1,KPO,IT,1764416,17.64
Software Engineer,5,3,MBA,IIM,Delhi NCR,1,startup,IT,2856077,28.56
Software Engineer,5,7,B.Tech,Top Private,Delhi NCR,1,service,IT,2101002,21.01
Software Engineer,5,5,B.E.,BITS,Delhi NCR,1,KPO,IT,1865791,18.66
Software Engineer,5,4,B.Sc,Tier 3,Nagpur,2,service,IT,1251246,12.51
Software Engineer,5,4,MBA,IIM,Kochi,2,MNC,IT,3861347,38.61
Software Engineer,5,8,B.Sc,Tier 3,Kochi,2,KPO,IT,1464956,14.65
Software Engineer,5,6,B.Tech,NIT,Jamshedpur,3,MNC,IT,2850498,28.5
Software Engineer,5,3,B.Tech,NIT,Jamshedpur,3,KPO,IT,1168527,11.69
Software Engineer,5,8,MBA,IIM,Patna,3,startup,IT,2396285,23.96
Software Engineer,5,4,B.Sc,Tier 3,Patna,3,service,IT,938849,9.39
Software Engineer,5,5,B.Tech,NIT,Patna,3,BPO,IT,1177157,11.77
Software Engineer,5,8,MBA,IIM,Patna,3,KPO,IT,1899600,19.0
Software Engineer,6,8,B.Tech,IIT,Kolkata,1,MNC,IT,5130825,51.31
Software Engineer,6,6,B.E.,Tier 2,Kolkata,1,product,IT,3277551,32.78
Software Engineer,6,7,MBA,IIM,Chandigarh,2,MNC,IT,4862990,48.63
Software Engineer,6,5,B.E.,Tier 2,Chandigarh,2,service,IT,1796478,17.96
Software Engineer,6,4,MBA,IIM,Nagpur,2,service,IT,2259184,22.59
Software Engineer,6,4,B.E.,Tier 2,Nagpur,2,BPO,IT,1282961,12.83
Software Engineer,6,5,B.E.,BITS,Mysore,3,product,IT,3031701,30.32
Software Engineer,6,8,B.E.,BITS,Mysore,3,KPO,IT,2012617,20.13
Software Engineer,6,7,B.E.,Tier 2,Jamshedpur,3,MNC,IT,2910821,29.11
Software Engineer,6,3,B.Tech,IIT,Jamshedpur,3,product,IT,2608217,26.08
Software Engineer,6,5,B.Tech,IIT,Jamshedpur,3,service,IT,1868056,18.68
Software Engineer,6,6,B.Sc,Tier 3,Jamshedpur,3,KPO,IT,1347665,13.48
Software Engineer,7,4,B.E.,BITS,Chennai,1,service,IT,2858015,28.58
Software Engineer,7,4,B.Tech,Top Private,Chennai,1,BPO,IT,1917554,19.18
Software Engineer,7,5,B.Sc,Tier 3,Chennai,1,product,IT,3254205,32.54
Software Engineer,7,5,B.Sc,Tier 3,Chennai,1,BPO,IT,1634424,16.34
Software Engineer,7,6,B.Tech,Top Private,Indore,2,MNC,IT,4849582,48.5
Software Engineer,7,6,B.Sc,Tier 3,Indore,2,startup,IT,2394111,23.94
Software Engineer,7,8,B.Tech,NIT,Indore,2,service,IT,3118099,31.18
Software Engineer,7,3,B.E.,Tier 2,Jaipur,2,MNC,IT,3543880,35.44
Software Engineer,7,3,B.Tech,Top Private,Jaipur,2,product,IT,3048783,30.49
Software Engineer,7,8,B.E.,Tier 2,Vadodara,3,MNC,IT,3413466,34.13
Software Engineer,7,7,B.Tech,IIT,Vadodara,3,product,IT,3869664,38.7
Software Engineer,7,6,B.E.,Tier 2,Bhubaneswar,3,MNC,IT,3184378,31.84
Software Engineer,7,8,B.E.,BITS,Bhubaneswar,3,product,IT,4086730,40.87
Software Engineer,8,5,B.Tech,IIT,Gurgaon,1,product,IT,6372464,63.72
Software Engineer,8,8,B.E.,Tier 2,Gurgaon,1,BPO,IT,2658909,26.59
Software Engineer,8,8,B.E.,Tier 2,Gurgaon,1,KPO,IT,3086504,30.87
Software Engineer,8,8,B.Tech,Top Private,Hyderabad,1,MNC,IT,6242297,62.42
Software Engineer,8,5,B.E.,Tier 2,Hyderabad,1,startup,IT,3487661,34.88
Software Engineer,8,5,B.Tech,NIT,Hyderabad,1,service,IT,3229262,32.29
Software Engineer,8,8,MBA,IIM,Hyderabad,1,KPO,IT,4389248,43.89
Software Engineer,8,5,MBA,IIM,Indore,2,product,IT,5229348,52.29
Software Engineer,8,8,B.Tech,Top Private,Indore,2,service,IT,2941322,29.41
Software Engineer,8,5,B.Sc,Tier 3,Ahmedabad,2,MNC,IT,4270568,42.71
Software Engineer,8,8,B.E.,Tier 2,Ahmedabad,2,product,IT,4462378,44.62
Software Engineer,8,5,B.E.,Tier 2,Ahmedabad,2,startup,IT,3023643,30.24
Software Engineer,8,3,B.E.,Tier 2,Ahmedabad,2,service,IT,2141354,21.41
Software Engineer,8,3,B.E.,BITS,Ahmedabad,2,BPO,IT,1985900,19.86
Software Engineer,8,7,B.Tech,Top Private,Ahmedabad,2,KPO,IT,2687466,26.87
Software Engineer,8,5,MBA,IIM,Thiruvananthapuram,3,startup,IT,3641947,36.42
Software Engineer,8,4,MBA,IIM,Thiruvananthapuram,3,service,IT,2794648,27.95
Software Engineer,8,5,B.Tech,Top Private,Thiruvananthapuram,3,BPO,IT,1658429,16.58
Software Engineer,8,5,B.Tech,NIT,Mysore,3,MNC,IT,4344605,43.45
Software Engineer,8,8,B.E.,BITS,Mysore,3,service,IT,3068744,30.69
Software Engineer,9,3,B.E.,BITS,Gurgaon,1,KPO,IT,3902841,39.03
Software Engineer,9,3,B.Tech,IIT,Chennai,1,product,IT,5951356,59.51
Software Engineer,9,7,MBA,IIM,Chandigarh,2,MNC,IT,8198731,81.99
Software Engineer,9,7,B.E.,Tier 2,Chandigarh,2,service,IT,3294890,32.95
Software Engineer,9,6,B.Tech,Top Private,Chandigarh,2,KPO,IT,3462050,34.62
Software Engineer,9,7,B.Tech,IIT,Jamshedpur,3,BPO,IT,2769667,27.7
Software Engineer,9,6,B.E.,BITS,Vadodara,3,MNC,IT,5233872,52.34
Software Engineer,9,4,B.E.,BITS,Vadodara,3,product,IT,4426556,44.27
Software Engineer,9,6,B.E.,BITS,Vadodara,3,startup,IT,4167888,41.68
Software Engineer,9,7,B.E.,BITS,Vadodara,3,service,IT,3225002,32.25
Software Engineer,9,4,B.Sc,Tier 3,Vadodara,3,BPO,IT,1518907,15.19
Software Engineer,9,7,MBA,IIM,Vadodara,3,KPO,IT,3910044,39.1
Software Engineer,10,4,B.E.,BITS,Delhi NCR,1,product,IT,6623356,66.23
Software Engineer,10,8,MBA,IIM,Delhi NCR,1,service,IT,7010643,70.11
Software Engineer,10,5,MBA,IIM,Delhi NCR,1,BPO,IT,4279202,42.79
Software Engineer,10,6,B.Sc,Tier 3,Delhi NCR,1,service,IT,3845833,38.46
Software Engineer,10,5,B.E.,Tier 2,Delhi NCR,1,BPO,IT,2939447,29.39
Software Engineer,10,8,B.Tech,Top Private,Delhi NCR,1,KPO,IT,5011337,50.11
Software Engineer,10,4,MBA,IIM,Coimbatore,2,MNC,IT,7631145,76.31
Software Engineer,10,8,B.Tech,NIT,Coimbatore,2,product,IT,7027761,70.28
Software Engineer,10,5,B.Sc,Tier 3,Coimbatore,2,service,IT,2857633,28.58
Software Engineer,10,8,B.E.,BITS,Coimbatore,2,BPO,IT,3275848,32.76
Software Engineer,10,4,B.E.,BITS,Chandigarh,2,KPO,IT,4209547,42.1
Software Engineer,10,6,B.Tech,Top Private,Patna,3,service,IT,3381477,33.81
Software Engineer,10,5,B.Tech,Top Private,Jamshedpur,3,product,IT,4983520,49.84
Software Engineer,10,7,B.E.,Tier 2,Jamshedpur,3,BPO,IT,2153595,21.54
Senior Software Engineer,3,8,B.E.,BITS,Mumbai,1,MNC,IT,3367393,33.67
Senior Software Engineer,3,9,B.Tech,Top Private,Mumbai,1,product,IT,2670442,26.7
Senior Software Engineer,3,5,B.E.,Tier 2,Mumbai,1,service,IT,1161588,11.62
Senior Software Engineer,3,10,MBA,IIM,Mumbai,1,KPO,IT,2143821,21.44
Senior Software Engineer,3,9,B.Tech,NIT,Chandigarh,2,service,IT,1656875,16.57
Senior Software Engineer,3,7,B.Tech,Top Private,Kochi,2,product,IT,1750634,17.51
Senior Software Engineer,3,9,MBA,IIM,Kochi,2,BPO,IT,1476307,14.76
Senior Software Engineer,3,8,MBA,IIM,Kochi,2,KPO,IT,1505849,15.06
Senior Software Engineer,3,9,B.Tech,NIT,Jamshedpur,3,KPO,IT,1311706,13.12
Senior Software Engineer,3,9,B.Sc,Tier 3,Bhubaneswar,3,MNC,IT,1822167,18.22
Senior Software Engineer,3,8,B.Tech,NIT,Bhubaneswar,3,startup,IT,1499660,15.0
Senior Software Engineer,3,8,B.Tech,NIT,Bhubaneswar,3,service,IT,1335465,13.35
Senior Software Engineer,3,8,MBA,IIM,Bhubaneswar,3,BPO,IT,1134031,11.34
Senior Software Engineer,4,10,B.Tech,Top Private,Gurgaon,1,product,IT,2956224,29.56
Senior Software Engineer,4,6,B.Sc,Tier 3,Gurgaon,1,startup,IT,1804257,18.04
Senior Software Engineer,4,6,MBA,IIM,Chennai,1,product,IT,3843563,38.44
Senior Software Engineer,4,10,B.Tech,NIT,Chennai,1,startup,IT,2955018,29.55
Senior Software Engineer,4,8,B.Tech,Top Private,Chennai,1,service,IT,2106426,21.06
Senior Software Engineer,4,7,MBA,IIM,Chennai,1,BPO,IT,1956928,19.57
Senior Software Engineer,4,8,B.Tech,Top Private,Coimbatore,2,product,IT,2368188,23.68
Senior Software Engineer,4,10,B.Sc,Tier 3,Coimbatore,2,startup,IT,1992927,19.93
Senior Software Engineer,4,10,B.E.,Tier 2,Coimbatore,2,service,IT,1474428,14.74
Senior Software Engineer,4,7,B.Sc,Tier 3,Coimbatore,2,BPO,IT,935283,9.35
Senior Software Engineer,4,9,B.Tech,IIT,Coimbatore,2,KPO,IT,2076181,20.76
Senior Software Engineer,4,7,B.Tech,NIT,Visakhapatnam,2,MNC,IT,3020815,30.21
Senior Software Engineer,4,6,B.E.,Tier 2,Visakhapatnam,2,product,IT,1816284,18.16
Senior Software Engineer,4,6,B.Tech,Top Private,Visakhapatnam,2,startup,IT,1973323,19.73
Senior Software Engineer,4,7,B.E.,Tier 2,Visakhapatnam,2,service,IT,1472389,14.72
Senior Software Engineer,4,6,B.E.,Tier 2,Visakhapatnam,2,KPO,IT,1202784,12.03
Senior Software Engineer,4,8,B.Tech,IIT,Lucknow,3,MNC,IT,2947145,29.47
Senior Software Engineer,4,9,B.Sc,Tier 3,Lucknow,3,startup,IT,1654877,16.55
Senior Software Engineer,4,8,B.E.,BITS,Lucknow,3,BPO,IT,1129491,11.29
Senior Software Engineer,4,5,B.Sc,Tier 3,Lucknow,3,KPO,IT,857754,8.58
Senior Software Engineer,4,6,B.E.,Tier 2,Mysore,3,MNC,IT,1913779,19.14
Senior Software Engineer,4,7,MBA,IIM,Mysore,3,service,IT,1784692,17.85
Senior Software Engineer,4,5,B.E.,BITS,Mysore,3,BPO,IT,1125927,11.26
Senior Software Engineer,4,8,B.E.,BITS,Mysore,3,KPO,IT,1492759,14.93
Senior Software Engineer,5,7,B.Tech,Top Private,Kolkata,1,service,IT,2160331,21.6
Senior Software Engineer,5,9,B.Sc,Tier 3,Kolkata,1,BPO,IT,1465151,14.65
Senior Software Engineer,5,9,MBA,IIM,Delhi NCR,1,startup,IT,4008348,40.08
Senior Software Engineer,5,6,B.Tech,NIT,Delhi NCR,1,service,IT,2229597,22.3
Senior Software Engineer,5,5,B.Tech,NIT,Visakhapatnam,2,MNC,IT,3145111,31.45
Senior Software Engineer,5,5,B.Tech,NIT,Visakhapatnam,2,startup,IT,2419433,24.19
Senior Software Engineer,5,9,B.Tech,Top Private,Visakhapatnam,2,service,IT,2208752,22.09
Senior Software Engineer,5,10,B.Tech,IIT,Visakhapatnam,2,KPO,IT,2785558,27.86
Senior Software Engineer,5,8,B.Tech,Top Private,Kochi,2,BPO,IT,1605832,16.06
Senior Software Engineer,5,10,B.Tech,IIT,Bhubaneswar,3,service,IT,2228581,22.29
Senior Software Engineer,5,10,MBA,IIM,Thiruvananthapuram,3,product,IT,3899508,39.0
Senior Software Engineer,5,5,B.Tech,Top Private,Thiruvananthapuram,3,startup,IT,1826042,18.26
Senior Software Engineer,5,10,B.Tech,Top Private,Thiruvananthapuram,3,KPO,IT,1630813,16.31
Senior Software Engineer,6,6,B.E.,Tier 2,Chennai,1,MNC,IT,4224802,42.25
Senior Software Engineer,6,10,B.Sc,Tier 3,Chennai,1,startup,IT,3142772,31.43
Senior Software Engineer,6,7,B.Tech,Top Private,Chennai,1,BPO,IT,1902695,19.03
Senior Software Engineer,6,5,B.E.,BITS,Bangalore,1,BPO,IT,2219144,22.19
Senior Software Engineer,6,10,MBA,IIM,Bangalore,1,KPO,IT,3611251,36.11
Senior Software Engineer,6,10,B.Tech,NIT,Nagpur,2,MNC,IT,5514344,55.14
Senior Software Engineer,6,7,B.Tech,NIT,Nagpur,2,product,IT,3963719,39.64
Senior Software Engineer,6,8,B.Sc,Tier 3,Nagpur,2,startup,IT,2584221,25.84
Senior Software Engineer,6,7,B.E.,Tier 2,Nagpur,2,MNC,IT,3788488,37.88
Senior Software Engineer,6,8,B.E.,BITS,Nagpur,2,startup,IT,3288734,32.89
Senior Software Engineer,6,10,B.Sc,Tier 3,Nagpur,2,service,IT,1953952,19.54
Senior Software Engineer,6,5,B.Tech,Top Private,Bhubaneswar,3,MNC,IT,3200699,32.01
Senior Software Engineer,6,9,B.Tech,NIT,Bhubaneswar,3,product,IT,3546723,35.47
Senior Software Engineer,6,8,B.Sc,Tier 3,Bhubaneswar,3,startup,IT,1991211,19.91
Senior Software Engineer,6,9,B.E.,BITS,Jamshedpur,3,MNC,IT,4862934,48.63
Senior Software Engineer,6,7,MBA,IIM,Jamshedpur,3,KPO,IT,2429102,24.29
Senior Software Engineer,7,5,MBA,IIM,Delhi NCR,1,product,IT,6283477,62.83
Senior Software Engineer,7,5,MBA,IIM,Delhi NCR,1,startup,IT,5378810,53.79
Senior Software Engineer,7,8,B.E.,Tier 2,Delhi NCR,1,service,IT,3007639,30.08
Senior Software Engineer,7,7,B.Tech,IIT,Pune,1,BPO,IT,2953940,29.54
Senior Software Engineer,7,7,B.Tech,Top Private,Pune,1,KPO,IT,2985585,29.86
Senior Software Engineer,7,5,B.Tech,NIT,Visakhapatnam,2,MNC,IT,4748743,47.49
Senior Software Engineer,7,10,B.E.,Tier 2,Visakhapatnam,2,product,IT,4433963,44.34
Senior Software Engineer,7,10,MBA,IIM,Visakhapatnam,2,BPO,IT,3409489,34.09
Senior Software Engineer,7,10,B.E.,Tier 2,Kochi,2,MNC,IT,5140718,51.41
Senior Software Engineer,7,7,B.Tech,Top Private,Kochi,2,service,IT,2916059,29.16
Senior Software Engineer,7,10,B.E.,Tier 2,Kochi,2,BPO,IT,2207539,22.08
Senior Software Engineer,7,5,B.E.,Tier 2,Kochi,2,KPO,IT,2031581,20.32
Senior Software Engineer,7,10,B.E.,Tier 2,Thiruvananthapuram,3,MNC,IT,4402587,44.03
Senior Software Engineer,7,9,B.Tech,NIT,Thiruvananthapuram,3,product,IT,3813292,38.13
Senior Software Engineer,7,8,MBA,IIM,Thiruvananthapuram,3,service,IT,2940074,29.4
Senior Software Engineer,7,6,B.Tech,Top Private,Thiruvananthapuram,3,KPO,IT,2340687,23.41
Senior Software Engineer,7,7,B.Sc,Tier 3,Jamshedpur,3,MNC,IT,3588593,35.89
Senior Software Engineer,7,5,B.Tech,Top Private,Jamshedpur,3,product,IT,3015081,30.15
Senior Software Engineer,7,8,B.E.,Tier 2,Jamshedpur,3,startup,IT,2660771,26.61
Senior Software Engineer,7,7,MBA,IIM,Jamshedpur,3,KPO,IT,2753260,27.53
Senior Software Engineer,8,7,B.Tech,NIT,Kolkata,1,product,IT,6635218,66.35
Senior Software Engineer,8,9,B.E.,BITS,Kolkata,1,KPO,IT,4027625,40.28
Senior Software Engineer,8,9,B.Tech,NIT,Mumbai,1,MNC,IT,7349301,73.49
Senior Software Engineer,8,5,B.E.,BITS,Mumbai,1,product,IT,5382747,53.83
Senior Software Engineer,8,10,B.Tech,Top Private,Mumbai,1,service,IT,4103342,41.03
Senior Software Engineer,8,10,B.E.,BITS,Mumbai,1,BPO,IT,3502130,35.02
Senior Software Engineer,8,5,B.E.,BITS,Nagpur,2,product,IT,5359825,53.6
Senior Software Engineer,8,8,B.Tech,Top Private,Nagpur,2,KPO,IT,3106108,31.06
Senior Software Engineer,8,10,B.Tech,NIT,Coimbatore,2,product,IT,6474588,64.75
Senior Software Engineer,8,6,MBA,IIM,Bhubaneswar,3,product,IT,5307133,53.07
Senior Software Engineer,8,10,MBA,IIM,Bhubaneswar,3,BPO,IT,2829259,28.29
Senior Software Engineer,8,6,B.E.,BITS,Bhubaneswar,3,KPO,IT,3015550,30.16
Senior Software Engineer,8,10,B.E.,Tier 2,Mysore,3,BPO,IT,2163035,21.63
Senior Software Engineer,8,5,B.E.,Tier 2,Mysore,3,KPO,IT,1968178,19.68
Senior Software Engineer,9,10,B.E.,Tier 2,Gurgaon,1,BPO,IT,3039945,30.4
Senior Software Engineer,9,6,B.Tech,Top Private,Delhi NCR,1,MNC,IT,7150197,71.5
Senior Software Engineer,9,10,B.Sc,Tier 3,Delhi NCR,1,BPO,IT,2705170,27.05
Senior Software Engineer,9,8,B.Sc,Tier 3,Delhi NCR,1,KPO,IT,3744518,37.45
Senior Software Engineer,9,9,B.Tech,IIT,Jaipur,2,MNC,IT,8730345,87.3
Senior Software Engineer,9,10,B.Tech,IIT,Jaipur,2,product,IT,7935968,79.36
Senior Software Engineer,9,6,B.Tech,Top Private,Jaipur,2,service,IT,3452461,34.52
Senior Software Engineer,9,7,B.Tech,Top Private,Jaipur,2,KPO,IT,3597999,35.98
Senior Software Engineer,9,8,MBA,IIM,Visakhapatnam,2,MNC,IT,8633982,86.34
Senior Software Engineer,9,10,MBA,IIM,Visakhapatnam,2,startup,IT,7449435,74.49
Senior Software Engineer,9,10,B.Tech,IIT,Visakhapatnam,2,KPO,IT,5260943,52.61
Senior Software Engineer,9,7,B.E.,BITS,Patna,3,service,IT,3359647,33.6
Senior Software Engineer,9,5,B.Tech,NIT,Patna,3,BPO,IT,2422416,24.22
Senior Software Engineer,9,8,B.Tech,NIT,Surat,3,product,IT,5682887,56.83
Senior Software Engineer,9,8,B.E.,BITS,Surat,3,service,IT,3819948,38.2
Senior Software Engineer,9,10,B.Sc,Tier 3,Surat,3,KPO,IT,2878604,28.79
Senior Software Engineer,10,7,MBA,IIM,Bangalore,1,product,IT,9100173,91.0
Senior Software Engineer,10,7,B.Tech,NIT,Bangalore,1,startup,IT,7795382,77.95
Senior Software Engineer,10,10,B.Tech,NIT,Bangalore,1,service,IT,6048473,60.48
Senior Software Engineer,10,8,B.Tech,Top Private,Pune,1,MNC,IT,10277262,102.77
Senior Software Engineer,10,5,B.Sc,Tier 3,Pune,1,BPO,IT,2562688,25.63
Senior Software Engineer,10,10,B.E.,Tier 2,Pune,1,KPO,IT,4404427,44.04
Senior Software Engineer,10,8,B.Tech,Top Private,Ahmedabad,2,startup,IT,5296676,52.97
Senior Software Engineer,10,9,B.Tech,Top Private,Ahmedabad,2,service,IT,4747222,47.47
Senior Software Engineer,10,8,MBA,IIM,Ahmedabad,2,BPO,IT,4272743,42.73
Senior Software Engineer,10,5,B.Sc,Tier 3,Ahmedabad,2,KPO,IT,2902758,29.03
Senior Software Engineer,10,6,B.Tech,IIT,Coimbatore,2,MNC,IT,8099426,80.99
Senior Software Engineer,10,5,B.Tech,NIT,Coimbatore,2,product,IT,6883622,68.84
Senior Software Engineer,10,6,B.Tech,IIT,Coimbatore,2,BPO,IT,4085312,40.85
Senior Software Engineer,10,7,B.Tech,Top Private,Mysore,3,MNC,IT,6298463,62.98
Senior Software Engineer,10,6,B.Tech,IIT,Mysore,3,service,IT,3990148,39.9
Senior Software Engineer,10,10,B.Tech,IIT,Mysore,3,KPO,IT,4315326,43.15
Senior Software Engineer,10,9,B.E.,BITS,Thiruvananthapuram,3,MNC,IT,7453603,74.54
Senior Software Engineer,10,7,B.E.,Tier 2,Thiruvananthapuram,3,product,IT,4875313,48.75
Senior Software Engineer,10,9,B.Tech,NIT,Thiruvananthapuram,3,service,IT,4132558,41.33
Senior Software Engineer,12,8,B.Tech,NIT,Mumbai,1,MNC,IT,11875491,118.75
Senior Software Engineer,12,5,B.Tech,Top Private,Mumbai,1,product,IT,8041432,80.41
Senior Software Engineer,12,5,B.Sc,Tier 3,Mumbai,1,startup,IT,6013661,60.14
Senior Software Engineer,12,8,MBA,IIM,Chennai,1,MNC,IT,16387621,163.88
Senior Software Engineer,12,6,B.Tech,Top Private,Indore,2,MNC,IT,9170060,91.7
Senior Software Engineer,12,9,B.Tech,NIT,Indore,2,product,IT,9278930,92.79
Senior Software Engineer,12,8,B.E.,Tier 2,Indore,2,startup,IT,6309908,63.1
Senior Software Engineer,12,10,B.Sc,Tier 3,Indore,2,BPO,IT,3351429,33.51
